,FIRMA,DENUMIRE PRODUS,PRODUCT,GRAMAJ,PRET - DKK,,,,!!! NOTE!!!
,KANDIA DULCE,Barni – Milk filling,Barni – Milk filling,30 g,"5,-",,5 906747 318345,,
,,Categorie CIOCOLATA,Category CHOCOLATE,,,,,,
,MONDELEZ,Rom,Rom,30 g,"5,-",,5 941047 805911,,
,MONDELEZ,Fagaras – visine si rom,Fagaras - sour cherry and rum,27 g,"5,-",,5 941047 826374,,
,MONDELEZ,Fagaras – stafide si rom,Fagaras – raisins and rum,30 g,"5,-",,5 941047 800336,,
,MONDELEZ,Laura - crema visine,Laura - sour cream,95 g,"12,-",,5 941047 821263,,
,MONDELEZ,Laura - crema zmeura,Laura - raspberry cream,95 g,"12,-",,5 941047 821287,,
,MONDELEZ,Africana cu lapte,Africana - milk,90 g,"12,-",,7 622300 730987,,
,MONDELEZ,Africana cu stafide si arahide,Africana – raisins and peanuts,90 g,"12,-",,7 622300 730963,,
,MONDELEZ,Poiana – aerata lapte,Poiana - chocolate milk with air bubbles,90 g,"15,-",,7 622300 255398,,
,MONDELEZ,Poiana cu lapte,Poiana -milk,90 g,"15,-",,7 622300 683016,,
,BEST FOODS,Poiana cu alune,Poiana - hazelnuts,90 g,"15,-",,7 622300 683023,,
,BEST FOODS,Poiana cu crema visine,Poiana - sour cream,90 g,"15,-",,,,
,,Categorie SNACKS,Category SNACKS,,,,,,
,INTER SNACK,Bestini alune,Bestini peanuts,25 g,"6,-",,3 800024 310263,,
,INTER SNACK,Bestini branza,Bestini cheese,25 g,"6,-",,3 800024 310256,,
,INTER SNACK,Bestini bacon snacks,Bestini bacon snacks,80 g,"10,-",,3 800024 310033,,
,INTER SNACK,Lotto pizza,Lotto pizza,75 g,"10,-",,3 800024 311123,,
,INTER SNACK,Lotto mega pops cheese,Lotto mega pops cheese,78 g,"10,-",,3 800024 310614,,
,CHITULESCU PROD,Lotto peanuts,Lotto peanuts,90 g,"10,-",,3 800024 311130,,
,CHITULESCU PROD,Lotto mega nuts,Lotto mega nuts,60 g,"10,-",,3 800024 310515,,
,PHOENIXY,Chio chips salted,Chio chips salted,140 g,"18,-",,,,
,DORIVI PROD COM,Bobita - cereale expandate,Bobita - swelled cereals,25 g,"4,-",,,,
,DORIVI PROD COM,Bobita - cereale expandate,Bobita - swelled cereals,100 g,"12,-",,,,
,DORIVI PROD COM,Gusto - pufuleti,Corn snacks,45 g,"5,-",,6 420211 000332,,
,CORNELIUS,Covrigei vanilati,Vanilla bagels,250 g,"15,-",,6 422558 000082,,
,CORNELIUS,Covrigi cu sare si mac,Bagels with salt and poppy,250 g,"15,-",,6 424558 000037,,
,DJILI-SOY,Covrigi cu chimens si sare,Bagels with salt and caraway,250 g,"15,-",,6 422558 000297,,
,DJILI-SOY,Covrigi cu sare si mac,Bagels with salt and poppy,250 g,"15,-",,6 424944 000225,,
,DJILI-SOY,Covrigi cu susan,Bagels with sesame,250 g,"15,-",,6 424944 000232,,
,DOMA,Djili-soy - seminte de floarea soarelui,Djili-soy - Sunflower seeds with salt,100 g,"10,-",,3 800118 900608,,
,PHOENIXY,"Seminte de floarea soarelui prajite, fara sare",Djili-soy - Sunflower seeds without salt,250g,"15,-",,3 800118 907478,,
