,7 DAYS,"Rogalik ""Mini croissant"" z nadzieniem smaku karmelowym","""Mini croissant"" with caramel flavour filling",185g,18.00,,5201360543809
,7 DAYS,"Rogalik ""Mini croissant"" z nadzieniem smaku spumante","""Mini croissant"" with spumante flavour filling",185g,18.00,,5201360543601
,7 DAYS,"Rogalik ""Mini croissant"" z nadzieniem smaku millefeuille","""Mini croissant"" with millefeuille flavour filling",185g,18.00,,5201360543700
,7 DAYS,"Rogalik ""Mini croissant"" z nadzieniem smaku kakaowym","""Mini croissant"" with cocoa flavour filling",185g,18.00,,5201360543205
,7 DAYS,"Rogalik  ""Double Max"" wanilia i wiśnia","Croissant ""Double Max"" vanilla and sour cherry",80g,8.00,,5201360501571
,7 DAYS,"Rogalik  ""Double Max"" kakao i wanilia","Croissant ""Double Max""cocoa and vanilla",80g,8.00,,5201360501700
,7 DAYS,"Rogalik  ""Double Max"" kakao i karmelu","Croissant ""Double Max"" cocoa and caramel",80g,8.00,,5201360501816
,7 DAYS,"Rogalik  ""Double Max"" cacao i kokos","Croissant ""Double Max"" cocoa and coconut",80g,8.00,,5201360502837
,7 DAYS,"Croissant ""Doubel Max"" z nadzieniem o smaku waniliowym i pomaranczowym","Croissant ""Double Max"" vanilla and orange",80g,8.00,,5201360502899
,7 DAYS,"Rogalik  ""Hazelnut Max"" orzech laskowy","Croissant "" Hazelnut Max"" hazelnut",80g,8.00,,5201360501014
,7 DAYS,"Croissant ""Max"" o smaku waniliowym","Croissant ""Max"" vanilla",80g,8.00,,5201360501786
,7 DAYS,"Rogalik ""Max"" creme brulee","Croissant ""Max"" cream brulee",80g,8.00,,5201360112159
,7 DAYS,"Slodka bulka ""Borseto""z nadzieniem z owocow lesnych","""Borseto"" stuffed with forest fruit",80g,8.00,,5201360509485
,7 DAYS,"Slodka bulka ""Borseto""z nadzieniem jablkowo- cynamonowym","""Borseto"" stuffed with apple-cinnamon",80g,8.00,,5201360509683
,7 DAYS,Rogalik z nadzieniem o smaku spumante,Croissant stuffed with flavored spumante,60g,6.00,,5201360521616
,,,COOKIES,WEIGHT,"PRICE, DKK",,BARCODE
,Belvita,Sniadanie kakaowe,,50g,6,,7622210025814
,Belvita,Sniadanie kakaowe,,300g,28,,7622210025753
,Belvita,Sniadanie zboza + mleko,,300g,28,,7622210025791
,Belvita,Sniadanie musli z owocami,,300g,28,,7622210025777
,Delicpol,"""Party"" jaffa cakes orange w czekoladzie",Sponge cakes with orange jelly in chocolate,135g,13,,5901141003231
,Milka,Choco jaffa orange jelly,,147g,15,,7622300434328
,Milka,Choco jaffa raspberry jelly,,147g,15,,7622300434373
,Milka,Choco jaffa chocolate flavoured mousse,,128g,15,,7622300434472
,,,,,,,
,Wawel,"""Michalki"" kokosowe",,280g,29,,5900102015245
,Wawel,"""Michalki"" klasyczne",,280g,29,,5900102008438
,Wawel,"""Michalki"" biale",,280g,29,,5900102012138
,Wawel,"""Fresh & fruity"" galaretki z nadzieniem",,280g,29,,5900102017737
,E. Wedel,"""Ptasie mleczko"" o smaku cappuccino",,380g,45,,5901588057507
,E. Wedel,"""Ptasie mleczko"" waniliowe z galaretka truskawkowa",,380g,45,,5901588057392
,E. Wedel,"""Ptasie mleczko"" smietankowe w karmelowej",,380g,45,,5901588057583
,E. Wedel,"""Ptasie mleczko"" cytrynowe",,380g,45,,5901588057330
,E. Wedel,"""Ptasie mleczko"" smietankowe",,380g,45,,5901588057408
,E. Wedel,"""Ptasie mleczko"" czekoladowe",,380g,45,,5901588057415
,E. Wedel,"""Ptasie mleczko Rajska Wyspa"" o smaku kokosowym w mocnomlecznej czekoladzie",,380g,45,,5901588057323
,,,,,,,
,Olza,"Kruchny wafelky w pysznej czekoladzie ""Prince Polo"" mini ",,128g,20,,7622210168344
,Olza,"Kruchny wafelky w pysznej czekoladzie ""Prince Polo"" classic",,17.5g,5,,7622210310361
,Olza,"Kruchny wafelky w pysznej czekoladzie ""Prince Polo"" classic",,35g,5,,7622210310408
,Olza,"Kruchny wafelky w pysznej czekoladzie ""Prince Polo"" classic",,50g,6,,7622210309792
,Olza,"Kruchny wafelky w pysznej czekoladzie ""Prince Polo"" orzechowe",,50g,6,,7622210310002
,Olza,"Kruchny wafelky w pysznej czekoladzie ""Prince Polo"" mleczne",,50g,6,,7622210309990
,Jutrzenka,"Wafle o smaku cytrynowym ""Familijne""",Wafers with lemon flavoured cream,180g,12,,5900352006284
,Storck,"""Werther's original"" tradycyjne cukierki smietankowe","""Werther's original"" classic cream candies",50g,8,,40144016
,Storck,"""Werther's original"" tradycyjne cukierki smietankowe","""Werther's original"" classic cream candies",90g,13,,4014400908527
,Storck,"Wafelek ""Knoppers"" mleczno- orzechowy",,25g,5,,40358802
,Storck,"Wafelek ""Knoppers"" mleczno- orzechowy",,75g,12,,40358826
,MMS,M&M's peanut,M&M's peanut,45g,8,,5900951140310
,MMS,M&M's peanut,M&M's peanut,90g,15,,5900951247897
,MMS,M&M's chocolate mega,M&M's chocolate mega,38g,8,,5000159485531
,MMS,M&M's chocolate,M&M's chocolate,90g,15,,5900951247972
,Wawel,Sliwka w czekoladzie,Plum in chocolate,300g,49,,5900102012473
,Wawel,Orzezwiajace,,120g,10,,5900102003655
,Wawel,Krowka mleczna,,250g,25,,5900102012800
,Wawel,Krowka mleczna,,3 kg,90,,
,Wawel,"Baton ""Maciek toffi"" nadziewany z czekolady mlecznej","Milk chocolate bar ""Maciek toffi"" with toffee filling",49g,8,,5900102011810
,Skittles,Skittles crazy sours,,125g,16,,5000159314572
,Skittles,Skittles crazy sours,,174g,16,,4009900465304
,Skittles,Skittles crazy sours,,38g,6,,5000159376792
,Skittles,Skittles fruits,,174g,16,,4009900455299
,Mieszko,"Karamelki nadziewane ""Zozole"" o smaku jablkowym, truskawkowym i wisniowym",,75g,10,,5900353555705
,Mieszko,"Karamelki nadziewane ""Zozole"" o smaku cytrynowym i pomarancowym",,75g,10,,5900353554432
,Mieszko,"Wafel ""Marco polo"" z kremem o smaku toffi bocznie powlekany czekolada",,40g,5,,5900353861028
,Mieszko,"Wafelek ""Marco polo classic"" przekladany kremem kakaowym w czekoladzie",,34g,5,,5900353860687
,Mieszko,"Wafelek ""Marco polo hazelnut"" przekladany kremem orzechowym w czekoladzie mlecznej",,34g,5,,5900353860953
,SM Gostyn,"""Gostynskie mleko"" zageszczone slodzone",,150g,15,,5900691032111
,SM Gostyn,"""Gostynskie mleko"" zageszczone slodzone kakaowe",,150g,15,,5900691032128
,SM Gostyn,"""Gostynskie mleko"" zageszczone slodzone o smaku karmelowym",,150g,15,,5900691032142
,Idcpolonia,"Kruchy wafelek ""Goralki"" przekladany kremem kokosowym w obwodowej polewie kakaowej",,50g,5,,8584004041426
,Idcpolonia,"Kruchy wafelek ""Goralki"" przekladany kremem z orzechow laskowych w obwodowej polewie kakaowej",,50g,5,,8584004041396
,Idcpolonia,"Kruchy wafelek ""Goralki"" przekladany kremem kakaowo- czekoladowym w obwodowej polewie kakaowej","""Goralki"" intenso hot chocolate",50g,5,,8584004041662
,Idcpolonia,"Kruchy wafelek ""Goralki"" przekladany kremem mlecznym w obwodowej polewie kakaowej",,50g,5,,8584004041389
,Idcpolonia,"Kruchy wafelek ""Goralki"" przekladany kremem kakaowo- czekoladowym w obwodowej polewie kakaowej",,50g,5,,8584004041419
,Idcpolonia,"Kruchy wafelek ""Goralki"" przekladany kremem nugatowym w obwodowej polewie kakaowej",,50g,5,,8584004041433
,Nestle,"Wafel ""Princessa orzechowa"" przekladany orzechowym oblany mleczna czekolada","Wafer layered ""Princessa orzechowa"" with hazelnut cream covered with milk chocolate",37g,5,,7613030111146
,Nestle,"Wafel ""Princessa orzechowa longa"" przekladany orzechowym oblany mleczna czekolada","Wafer layered ""Princessa orzechowa longa"" with hazelnut cream covered with milk chocolate",49g,6,,5900862019309
,Nestle,"Wafel ""Princessa kokosowa"" przekladany kokosowym oblany biala czekolada","Wafer layered ""Princessa kokosowa"" with coconut cream covered with white chocolate",36g,5,,5900090017504
,Nestle,"Wafel ""Princessa kokosowa longa"" przekladany kokosowym oblany biala czekolada","Wafer layered ""Princessa kokosowa longa"" with coconut cream covered with white chocolate",48g,6,,5900862024570
,Nestle,"Wafel ""Princessa mleczna"" przekladany kremem kakaowym oblany mleczna czekolada","Wafer layered ""Princessa kokosowa"" with cocoa cream covered with milk chocolate",37g,5,,7613030110934
,Nestle,"Wafel ""Princessa mleczna longa"" przekladany kremem kakaowym oblany mleczna czekolada","Wafer layered ""Princessa kokosowa longa"" with cocoa cream covered with milk chocolate",49g,6,,5900862019286
,Nestle,"Kakaowy wafel ""Princessa zebra"" przekladany kremem mlecznym","Cocoa wafer ""Princessa zebra"" layered with milk cream",37g,5,,7613034805874
,Nestle,"Nadziewany wafel ""Lion white"" z karamelem i platkami pszennymi w bialej polewie",,42g,6,,7613031006267
