,PURE CHOCOLATE,Šokolades trifelu kolekcija DECO 15 Asorti,Chocolate truffle collection DECO 15 Assorted,133g,30.00,,4751011198656
,PURE CHOCOLATE,Trifelu kolekcija,Truffle collection,165g,90.00,,4751011198632
,PURE CHOCOLATE,Mellenu trifelu kolekcija,Blueberry Truffle Collection,110g,45.00,,4751011191220
,PERGALE,Konfekšu izlase Pergalė Dream,Assorted sweets Pergalė Dream hot chocolate taste and brandy,174g,?,,4770179182833
,LAIMA,Konfektes ar Rigas Melno balzamu,Chocolates with Riga Black balsam,135g,39.00,,4750001820010
,LAIMA,Šokolades konfektes MAESTRO ar karamelizetam vafelem,Chocolates MAESTRO with caramelised wafers,205g,49.00,,4750001946796
,LAIMA,Ipašas tumšas šokolades konfektes MON AMI ipašiem mirkliem,Special dark chocolates MON AMI for special moments,245g,49.00,,4750001946239
,LAIMA,Tumšas šokolades konfekšu asorti VILNIUS,Asorti dark chocolates VILNIUS,360g,60.00,,4750001008067
,LAIMA,Tumšas šokolades konfekšu asorti LATVIJA,Asorti dark chocolates LATVIA,360g,60.00,,4750001816808
,LAIMA,Tumšas šokolades konfekšu asorti RIGA,Asorti dark chocolates RIGA,360g,60.00,,4750001008012
,LAIMA,Konfektes SERENADE ar auglu pildijumu un drupinatiem lazdu riekstiem,Sweets SERENADE with fruit jelly and crumbled hazelnuts,235g,60.00,,4750001009187
,LAIMA,"Tumšas šokolades konfekšu asorti ""Maskava torņi""","Dark chocolate assortment ""Moscow Towers""",360g,60.00,,4750001008043
,LAIMA,Tumšas šokolades konfekšu asorti ГОРДОСТЬ МОСКВЫ (Gordost Moskvy),"Dark chocolate assortment ""Moskva Pride""",360g,60.00,,4750001817058
,LAIMA,Karameles piena lase,Hard candies ,300g,49.00,,4750011169253
,LAIMA,"Karamelu izlase ""Rigas maisijums""",Hard boiled candies,500g,59.00,,4750011271260
,LAIMA,Konfektes RUDZUPUKE ar burvigu piena un lazdu riekstu pomadi,Sweets RUDZUPUKE with lovely milk and hazelnut fondant,160g,28.00,,4750001944952
,LAIMA,Dražeju asorti,Assorted dragees,210g,60.00,,4750011813248
,LAIMA,Konfektes VETRASPUTNS ar neparasti maigu piena pomadi,Sweets  VETRASPUTNS with especially mild milk fondant,160g,28.00,,4750001944969
,LAIMA,Šokolades konfektes SERENADE ar kardinošu aprikožu un riekstu pildijumu,Chocolate candies SERENADE with tempting apricot and hazelnut filling,160g,38.00,,4750001944983
,LAIMA,Konfektes VAVERITE ar gardiem drupinatiem lazdu riekstiem maiga praline,Sweets VAVERITE with delicious crumbled hazeelnuts in mild praline,160,35.00,,4750001944907
,LAIMA,Konfekšu kārba mini Piena Rigerts ASORTI,Candy box mini milk Rigerts ASORTI,215g,,,
,LAIMA,Konfekšu kārba mini Tumšais Rigerts ASORTI,Candy box mini dark Rigerts ASORTI,215g,,,
,LAIMA,Šokolades konfekšu asorti,Assorted chocolates,95g,25.00,,4750001945157
,LAIMA,Šokolades konfekšu asorti “Asorti” (pink),"Chocolate candy assortment ""Asorti"" (pink)",95g,25.00,,4750001946253
,LAIMA,Šokolades konfekšu asorti “Asorti” (white),"Chocolate candy assortment ""Asorti"" (white)",95g,25.00,,4750001943412
NEW PRODUCT,LAIMA,Tumšas šokolades konfekšu asorti,Dark chocolate assortment,215g,39.00,,4750001008166
NEW PRODUCT,LAIMA,Konfekšu asorti,Quality assortment,480g,59.00,,4750001819335
NEW PRODUCT,LAIMA,Ogu izlase,Berry selection,210g,39.00,,4750001949575
NEW PRODUCT,LAIMA,Šokolades konfekšu asorti,Chocolate assortment,470g,59.00,,4750001818734
NEW PRODUCT,LAIMA,Desertu izlase,Dessert selection,100g,27.00,,4750001949407
NEW PRODUCT,LAIMA,Dzervenu škelites glazūra,Cranberry jellies in glazing,190g,29.00,,4750011849063
NEW PRODUCT,LAIMA,Apelsinu marmelades škelites glazūra,Orange jellies in glazing,190g,29.00,,4750011814511
,LAIMA,Konfekšu kārba tumšās LUKSS,Candy box dark LUKSS,140g,,,
,LAIMA,Konfekte VAVERITE,Sweet “Vaverite” (“Squirrel”),40g,7.00,,4750001005202
,LAIMA,Konfekte SERENADE,"Sweet ""Serenade""",40g,7.00,,4750001330977
,LAIMA,Marcipana konfekte Classic,Marzipan Classic,45g,10.00,,4750007504327
,LAIMA,Marcipans ar dzervenev,Marzipan with cranberries,45g,7.00,,4750011849087
NEW PRODUCTS,LAIMA,VIJOLITE konfektes ar kiršu un bumbieru garšu,VIJOLITE sweets with cherry and pear taste,170g,17.00,,4750011849490
NEW PRODUCTS,LAIMA,GUNDEGA konfektes ar citronu garšu,GUNDEGA sweets with lemon taste,170g,17.00,,4750011849483
,LAIMA,Zemesriekstu šerbets,Oriental sweets with peanuts,200g,22.00,,4750011848608
NEW PRODUCT,LAIMA,Konfektes ar Rigas Melno upenu balzamu, Sweets with Riga balsam black currant filling,35g,12.00,,4750001820003
,SALDUS,"Piena konfekte , Gotiņa",Milk candy “Gotina” (“Cow”),1 kg,,,
,SKRĪVERU SALDUMI,Piena konfekte Skriveru Gotina,Assorted sweets Skriveru Gotina,200g,19.00,,4751010570057
,SKRĪVERU SALDUMI,Piena konfekte Skriveru Gotina Classic,Assorted  Skriveru Gotina “Classic”,200g,19.00,,4751010570033
,,ZEFIRS,ZEPHYR,"Weight, KG","Price, DKK",,Ean CODE
,LAIMA,Zefirs piena šokolade “Magnums” ar kokosriekstu skaidinam,"Zephyr in milk chocolate ""Magnums"" with coconut chips",140g,29.00,,4750011849230
,LAIMA,Zefirs piena šokolade “Magnums” ar kokosriekstu skaidinam,"Zephyr in milk chocolate ""Magnums"" with coconut chips",185g,29.00,,4750001000771
,LAIMA,Zefirs mellenu,Zephyr blueberry,200g,20.00,,4750011848646
,LAIMA,Zefirs vanilas,Zephyr vanilla,200g,20.00,,4750001002508
,LAIMA,Zefirs krejuma,Zephyr cream,200g,20.00,,4750001002843
,LAIMA,Zefirs abolu-kanela,Zephyr apple-cinnamon,200g,20.00,,4750011848837
,LAIMA,Zefirs šokolade ar mellenu pildijumu “Maigums”,Zephyr in chocolate with blueberry filling “Maigums”,200g,22.00,,4750011849186
,LAIMA,Zefirs šokolade ar mellenu pildijumu “Maigums”,Zephyr in chocolate with blueberry filling “Maigums”,140g,35.00,,4750011849179
,LAIMA,Zefirs šokolade vanilas “Maigums”,Zephyr in chocolate vanilla “Maigums”,200g,22.00,,4750001004267
,LAIMA,Zefirs šokolade ar kafijas pildijumu “Maigums”,Zephyr in chocolate with coffee filling “Maigums”,200g,22.00,,4750011849162
,LAIMA,Zefirs šokolade ar kafijas pildijumu “Maigums”,Zephyr in chocolate with coffee filling “Maigums”,140g,35.00,,4750011849155
,ADUGS,Zefirs balti-roza,Zephyr white-rose,"1,8 kg",100/kg,,4751008660265
,,ŠOKOLADE,CHOCOLATE,"Weight, KG","Price, DKK",,Ean CODE
,KALEV,Baltā šok. ar cepumu gab.un zemenēm,White chocolate biscuits with strawberries,100g,18.00,,
,KALEV,Baltā šok. ar kraukšķīgiem rīsiem un mellenēm ,White chocolate with crunchy rice and blueberries,95g,18.00,,
,PERGALE,Pergale melnā ar mango pildījumu,Black chocolate with mango filling,100g,,,
,Daisena,Balta šokolade “Schogetten”,"White chocolate ""Schogetten""",100g,12.00,,4000415856601
,Laima,Pieno šokolade,Milk chocolate,,,,
,Laima,Pieno šokolade ar lazdu riekstiem,Milk chocolate with hazelnuts,100g,12.00,,4750001943795
,Laima,Rūgta šokolade 70% cocoa,Extra dark chocolate 70% cocoa ,100g,12.00,,4750001943849
,Laima,Rūgta šokolade ar dzervenem un drupinatam piparkūkam,Extra dark chocolate with cranberries and crumbled gingerbread,220g,32.00,,4750001948080
,Laima,Rūgta šokolade 90% cocoa,Extra ark chocolate 90% cocoa,100g,20.00,,4750001946871
,Laima,VAVERITE Piena šokolade ar veseliem un drupinatiem lazdu riekstiem,Milk chocolate VAVERITE with whole and crumbed hazelnuts,100g,?,,4750001819939
,Laima,Riga black Balsam cream liquer,Riga black Balsam with liquer cream,44g,7.00,,4750001819496
,Laima,Riga black Balsam,Riga black Balsam,44g,7.00,,4750001819502
,,KALTETI FRUITS/ RIEKSTI,DRIED FRUITS/ NUTS,"Weight, KG","Price, DKK",,Ean CODE
,ARIMEX,Banānu čipsi,Banana chips,100g,12.00,,4771249812735
,ARIMEX,Žavetas dzervenes,Dried cranberries,100,12.00,,4771249817082
,Laima,Rozines šokolade,Raisins in chocolate,100g,14.00,,4750011813187
,Laima,Lazdu rieksti šokolade,Hazelnuts in chocolate,100g,24.00,,4750011813163
,,KOZINAK,KOZINAK,"Weight, KG","Price, DKK",,Ean CODE
,Krieger  GmbH,Kozinak sesam,Kozinak sesam,100g,12.00,,4740299000973
