ALCOHOL DRINKS,,,,,,
,PIWO,BEER,WEIGHT,"PRICE, DKK",BARCODE,Type
7 DAYS,"""Bake rolls"" pizza","Baked bread discs ""Bake rolls"" pizza",70g,10,5201360671069,Type
7 DAYS,"""Bake rolls"" pizza","Baked bread discs ""Bake rolls"" pizza",160g,16,5201360600304,Type
7 DAYS,"""Bake rolls"" ser i szpinak","Baked bread discs ""Bake rolls"" cheese and spinach",70g,10,5201360671052,Type
7 DAYS,"""Bake rolls"" pomidorowy z oliwek i oregano","Baked bread discs ""Bake rolls"" tomato olive and oregano",160g,16,5201360655571,Type
7 DAYS,"""Bake rolls"" czosnek","Baked bread discs ""Bake rolls"" garilc",160g,16,5201360605743,Type
Ital food,"Pieczone krazki chlebowe ""Bruscette Maretti"" o smaku pesto","Baked bread discs ""Bruscette Maretti"" flavored with pesto",70g,10,3800205873365,Type
Ital food,"Pieczone krazki chlebowe ""Bruscette Maretti"" o smaku pomidorowo, oliwkowo, oregano","Baked bread discs ""Bruscette Maretti"" flavored with tomatoe, olives and oregano",70g,10,3800205875109,Type
,POP CORN,POP CORN,WEIGHT,"PRICE, DKK",BARCODE,Type
Felix,Pop corn maslo,Pop corn butter,90g,10,5900571051324,Type
Felix,Pop corn ser,Pop corn cheese,90g,10,5900571300491,Type
Felix,Pop corn sol,Pop corn salt,90g,10,5900571051317,Type
,PALUSZKI,STICKS,WEIGHT,"PRICE, DKK",BARCODE,Type
Aksam,"Paluszki ""Beskidzkie"" z sola",Sticks with salt,70g,5,5907029000019,Type
Aksam,"Paluszki ""Beskidzkie"" z sola",Sticks with salt,300g,13,5907029000040,Type
Aksam,"Paluszki ""Beskidzkie"" pikantne",Sticks with spicy flavour,60g,5,5907029002235,Type
Aksam,"Paluszki ""Beskidzkie"" pikantne",Sticks with spicy flavour,220g,13,5907029002112,Type
Aksam,"Paluszki ""Beskidzkie"" o smaku wedzonego bekonu",Sticks with smoked bacon flavour,60g,5,5907029002273,Type
Aksam,"Paluszki ""Beskidzkie"" o smaku serowo- cebulkowym",Sticks with cheese and onion flavour,60g,5,5907029002259,Type
Aksam,"Paluszki ""Beskidzkie"" o smaku serowo- cebulkowym",Sticks with cheese and onion flavour,220g,13,5907029002150,Type
Aksam,"Paluszki ""Beskidzkie"" z sezamem",Sticks with sesame seeds,210g,13,5907029004017,Type
SWEETS,,,,,,Type
,ROGALIKI,CROISSANT,WEIGHT,"PRICE, DKK",BARCODE,Type
7 DAYS,"Rogalik ""Mini croissant"" z nadzieniem smaku karmelowym","""Mini croissant"" with caramel flavour filling",185g,18,5201360543809,Type
7 DAYS,"Rogalik ""Mini croissant"" z nadzieniem smaku spumante","""Mini croissant"" with spumante flavour filling",185g,18,5201360543601,Type
7 DAYS,"Rogalik ""Mini croissant"" z nadzieniem smaku millefeuille","""Mini croissant"" with millefeuille flavour filling",185g,18,5201360543700,Type
7 DAYS,"Rogalik ""Mini croissant"" z nadzieniem smaku kakaowym","""Mini croissant"" with cocoa flavour filling",185g,18,5201360543205,Type
7 DAYS,"Rogalik  ""Double Max"" wanilia i wiśnia","Croissant ""Double Max"" vanilla and sour cherry",80g,8,5201360501571,Type
7 DAYS,"Rogalik  ""Double Max"" kakao i wanilia","Croissant ""Double Max""cocoa and vanilla",80g,8,5201360501700,Type
7 DAYS,"Rogalik  ""Double Max"" kakao i karmelu","Croissant ""Double Max"" cocoa and caramel",80g,8,5201360501816,Type
7 DAYS,"Rogalik  ""Double Max"" cacao i kokos","Croissant ""Double Max"" cocoa and coconut",80g,8,5201360502837,Type
7 DAYS,"Croissant ""Doubel Max"" z nadzieniem o smaku waniliowym i pomaranczowym","Croissant ""Double Max"" vanilla and orange",80g,8,5201360502899,Type
7 DAYS,"Rogalik  ""Hazelnut Max"" orzech laskowy","Croissant "" Hazelnut Max"" hazelnut",80g,8,5201360501014,Type
7 DAYS,"Croissant ""Max"" o smaku waniliowym","Croissant ""Max"" vanilla",80g,8,5201360501786,Type
7 DAYS,"Rogalik ""Max"" creme brulee","Croissant ""Max"" cream brulee",80g,8,5201360112159,Type
7 DAYS,"Slodka bulka ""Borseto""z nadzieniem z owocow lesnych","""Borseto"" stuffed with forest fruit",80g,8,5201360509485,Type
7 DAYS,"Slodka bulka ""Borseto""z nadzieniem jablkowo- cynamonowym","""Borseto"" stuffed with apple-cinnamon",80g,8,5201360509683,Type
7 DAYS,Rogalik z nadzieniem o smaku spumante,Croissant stuffed with flavored spumante,60g,6,5201360521616,Type
,SNIADANIE/ BISZKOPT,COOKIES/ SPONGE CAKES,WEIGHT,"PRICE, DKK",BARCODE,Type
Belvita,Sniadanie kakaowe,Breakfast cookies with cocoa taste,50g,6,7622210025814,Type
Belvita,Sniadanie kakaowe,Breakfast cookies with cocoa taste,300g,28,7622210025753,Type
Belvita,Sniadanie zboza + mleko,Breakfast cookies with milk taste and cereals,300g,28,7622210025791,Type
Belvita,Sniadanie musli z owocami,Breakfast cookies with fruit musli,300g,28,7622210025777,Type
Belvita,Sniadanie owoce lesne,Breakfast cookies with forest berries,300g,28,7622210126481,Type
Delicpol,"""Party"" jaffa cakes orange w czekoladzie",Sponge cakes with orange jelly in chocolate,135g,13,5901141003231,Type
Milka,Choco jaffa orange jelly,Sponge cakes with orange jelly in chocolate,147g,15,7622300434328,Type
Milka,Choco jaffa raspberry jelly,Sponge cakes with raspberry jelly in chocolate,147g,15,7622300434373,Type
Milka,Choco jaffa chocolate flavoured mousse,Sponge cakes with chocolate mousse in chocolate,128g,15,7622300434472,Type
Milka,"Ciastka ""XL cookie"" z kawalkami czekolady mlecznej","Cookies ""XL cookie"" with piecies of milk chocolate",184g,25,7622210063113,Type
Milka,"Ciastka kakaowe ""Sensations"" z miekkim srodkiem i kawalkami czekolady mlecznej","Cocoa cookies ""Sensations"" with piecies of milk chocolate",156g,25,7622210635785,Type
Jutrzenka,Ciastka kruche z cukrem,Biscuits with sugar,200g,14,5900394005429,Type
Jutrzenka,Ciastka murzynki,Cocoa biscuits,200g,14,5900394005443,Type
,PIERNICZKI,GINGERBREAD,WEIGHT,"PRICE, DKK",BARCODE,Type
Skawa,Pierniczki w czekoladzie basniowe z nadzieniem o smaku sliwkowym,Chocolate covered gingerbread with plum filling,150g,13,5902978040338,Type
Skawa,Pierniczki basniowe z nadzieniem jablkowym w polewie kakaowej,Cocoa coated gingerbread with apple filling,150g,13,5902978008390,Type
,MICHALKI/ PTASIE MLECZKO,MICHALKI/ PTASIE MLECZKO,WEIGHT,"PRICE, DKK",BARCODE,Type
Wawel,"""Michalki"" kokosowe","""Michalki"" with coconut taste",280g,29,5900102015245,Type
Wawel,"""Michalki"" klasyczne","""Michalki"" classic",280g,29,5900102008438,Type
Wawel,"""Michalki"" biale","""Michalki"" white chocolate",280g,29,5900102012138,Type
Wawel,"""Fresh & fruity"" galaretki z nadzieniem","Jelly beans ""Fresh & fruty"" with filling",280g,29,5900102017737,Type
Wawel,"Galaretki w czekoladzie ""Mieszanka Krakoeska""","Jelly in chocolate ""Mix of Krakow""",280g,29,5900102006823,Type
E. Wedel,"""Ptasie mleczko"" o smaku cappuccino","""Ptasie mleczko"" with cappuccino taste in chocolate",380g,45,5901588057507,Type
E. Wedel,"""Ptasie mleczko"" waniliowe","""Ptasie mleczko"" with vanilla taste in chocolate",380g,45,5901588057347,Type
E. Wedel,"""Ptasie mleczko"" smietankowa w czekoladzie bialej karmelowej","""Ptasie mleczko"" with cream taste in caramel white chocolate",380g,45,5901588057583,Type
E. Wedel,"""Ptasie mleczko"" o smaku frappe","""Ptasie mleczko"" with frappe taste in chocolate",380g,45,5901588057743,Type
E. Wedel,"""Ptasie mleczko"" extra mleczne","""Ptasie mleczko"" extra milky","316,4g",53,5901588026251,Type
E. Wedel,"""Ptasie mleczko"" waniliowe z galaretka truskawkowa","""Ptasie mleczko"" with vanilla taste and strawbery jelly filling in chocolate",380g,45,5901588057392,Type
E. Wedel,"""Ptasie mleczko"" smietankowe w karmelowej","""Ptasie mleczko"" with cream and caramel taste in chocolate",380g,45,5901588057583,Type
E. Wedel,"""Ptasie mleczko"" cytrynowe","""Ptasie mleczko"" with lemon taste in chocolate",380g,45,5901588057330,Type
E. Wedel,"""Ptasie mleczko"" smietankowe","""Ptasie mleczko"" with cream taste in chocolate",380g,45,5901588057408,Type
E. Wedel,"""Ptasie mleczko"" czekoladowe","""Ptasie mleczko"" with chocolate taste in chocolate",380g,45,5901588057415,Type
E. Wedel,"""Ptasie mleczko Rajska Wyspa"" o smaku kokosowym w mocnomlecznej czekoladzie","""Ptasie mleczko"" with coconut taste in milk chocolate",380g,45,5901588057323,Type
,WAFELKY/ CZEKOLADOWE CUKIERKI/ OWOCE W CZEKOLADZIE,WAFER/ CHOCOLATE SWEETS/ FRUITS IN CHOCOLATE,WEIGHT,"PRICE, DKK",BARCODE,Type
Olza,"Kruchny wafelky w pysznej czekoladzie ""Prince Polo"" mini ","Fragile waffle in chocolate ""Prince Polo"" mini",128g,20,7622210168344,Type
Olza,"Kruchny wafelky w pysznej czekoladzie ""Prince Polo"" classic","Fragile waffle in chocolate ""Prince Polo"" classic",17.5g,5,7622210310361,Type
Olza,"Kruchny wafelky w pysznej czekoladzie ""Prince Polo"" classic","Fragile waffle in chocolate ""Prince Polo"" classic",35g,5,7622210310408,Type
Olza,"Kruchny wafelky w pysznej czekoladzie ""Prince Polo"" classic","Fragile waffle in chocolate ""Prince Polo"" classic",50g,6,7622210309792,Type
Olza,"Kruchny wafelky w pysznej czekoladzie ""Prince Polo"" orzechowe","Fragile waffle with nuts taste in chocolate ""Prince Polo"" ",50g,6,7622210310002,Type
Olza,"Kruchny wafelky w pysznej czekoladzie ""Prince Polo"" mleczne","Fragile waffle in milk chocolate ""Prince Polo""",50g,6,7622210309990,Type
Jutrzenka,"Wafle o smaku cytrynowym ""Familijne""","Wafers ""Family"" with lemon flavoured cream",180g,12,5900352006284,Type
Jutrzenka,"Wafle o smaku chalwowym ""Familijne""","Wafers ""Family"" with halva flavoured cream",180g,12,5900352004518,Type
Storck,"""Werther's original"" tradycyjne cukierki smietankowe","""Werther's original"" classic cream candies",50g,8,40144016,Type
Storck,"""Werther's original"" tradycyjne cukierki smietankowe","""Werther's original"" classic cream candies",90g,13,4014400908527,Type
Storck,"Wafelek ""Knoppers"" mleczno- orzechowy","Wafers ""Knoppers"" with nuts taste in milk chocolate",25g,5,40358802,Type
Storck,"Wafelek ""Knoppers"" mleczno- orzechowy","Wafers ""Knoppers"" with nuts taste in milk chocolate",75g,12,40358826,Type
MMS,M&M's peanut,M&M's peanut,45g,8,5900951140310,Type
MMS,M&M's peanut,M&M's peanut,90g,15,5900951247897,Type
MMS,M&M's chocolate mega,M&M's chocolate mega,38g,8,5000159485531,Type
MMS,M&M's chocolate,M&M's chocolate,90g,15,5900951247972,Type
Wawel,Sliwka w czekoladzie,Plum in chocolate,300g,49,5900102012473,Type
Wawel,Orzezwiajace,Candy with mint filling,120g,10,5900102003655,Type
Wawel,Krowka mleczna,"""Krowka"" ",250g,25,5900102012800,Type
Wawel,Krowka mleczna,"""Krowka"" ",3 kg,90,,Type
Wawel,"Baton ""Maciek toffi"" nadziewany z czekolady mlecznej","Milk chocolate bar ""Maciek toffi"" with toffee filling",49g,8,5900102011810,Type
