FIRMA,DENUMIRE PRODUS,PRODUCT,GRAMAJ,PRET - DKK,,
CORNELIUS,Covrigei vanilati,Vanilla bagels,250 g,"15,-",6 422558 000082,SNACKS
,Covrigi cu sare si mac,Bagels with salt and poppy,250 g,"15,-",6 424558 000037,SNACKS
DJILI-SOY,Covrigi cu chimens si sare,Bagels with salt and caraway,250 g,"15,-",6 422558 000297,SNACKS
,Covrigi cu sare si mac,Bagels with salt and poppy,250 g,"15,-",6 424944 000225,SNACKS
,Covrigi cu susan,Bagels with sesame,250 g,"15,-",6 424944 000232,SNACKS
DOMA,Djili-soy - seminte de floarea soarelui,Djili-soy - Sunflower seeds with salt,100 g,"10,-",3 800118 900608,SNACKS
PHOENIXY,"Seminte de floarea soarelui prajite, fara sare",Djili-soy - Sunflower seeds without salt,250g,"15,-",3 800118 907478,SNACKS
,Djili-soy - seminte de floarea soarelui,Djili-soy - Sunflower seeds without salt,100 g,"10,-",3 800118 900554,SNACKS
OLYMPUS,Cereale cu arome de fructe,Cereals with fruits aroma,75 g,"12,-",6 421846 000278,SNACKS
,Gusto – pufuleti MegaSurprise,Gusto – corn snacks – MegaSurprise,60 g,"12,-",6 420211 00349,SNACKS
,BRANZETURI SI PRODUSE LACTATE,CHEESEV AND DAIRY,,,,
Olympus,Telemea oaie,Sheep cottage cheese,200 g,"25,-",5 202178 062315,CHEESEV AND DAIRY
Olympus,Telemea vaca,Cow cottage cheese,200 g,"22,-",5 202178 062124,CHEESEV AND DAIRY
Lactate Bradet,Cascaval Dalia,Dalia cheese,325 g,"35,-",5 941730 000531,CHEESEV AND DAIRY
Lactate Bradet,Cascaval Afumat,Smoked cheese,325 g,"40,-",5 941730 000623,CHEESEV AND DAIRY
,Cascaval clasic,Classic cheese,600 g,"65,-",,CHEESEV AND DAIRY
Josi - Logistic,Rucar Cascaval,,200g,"29,-",NO BARCODE,CHEESEV AND DAIRY
Bueno Lact,Vidraru Cascaval afumat,,200g,"29,-",NO BARCODE,CHEESEV AND DAIRY
Bueno Lact,Dalia Cascaval,,440g,"37,-",NO BARCODE,CHEESEV AND DAIRY
Hochland,Cascaval classic,,200g,"29,-",5941238006158,CHEESEV AND DAIRY
,Cascaval classic,,400g,"50,-",5941238006172,CHEESEV AND DAIRY
,Cascaval classic,,450g,"45,-",5941238005113,CHEESEV AND DAIRY
,Cascaval afumat,,450g,"45,-",5941238005120,CHEESEV AND DAIRY
,Sana 3%,Sana 3%,500 ml,"13,-",,CHEESEV AND DAIRY
,Sahnezauber spray cream 21%,Sahnezauber spray cream 21%,250 ml,"22,-",,CHEESEV AND DAIRY
,Branza burduf,Bellows cheese,1000 g,"85,-/kg",,CHEESEV AND DAIRY
,Mugura – Smantana (12%),Mugura – Sour cream (12%),200 g,"10,-",5 941265 015314,CHEESEV AND DAIRY
,CONDIMENTE SI PRAFURI/ESENTE,SPICES AND POWDERS/ESSENCES,,,,
DELI K'AT,Bors cu legume,Borch with vegetables,150 g,"15,-",3 850104 272424,SPICES AND POWDERS/ESSENCES
,Bors cu verdeturi,Borch with herbs,70 g,"12,-",3 850104 265617,SPICES AND POWDERS/ESSENCES
,Bors cu smantana,Borch with sour cream,40 g,"10,-",3 850104 265624,SPICES AND POWDERS/ESSENCES
,Original,Original,20 g,"10,-",,SPICES AND POWDERS/ESSENCES
,Legume,Vegetables,75 g,"12,-",8 712100 386497,SPICES AND POWDERS/ESSENCES
,Legume,VEGETABLES,250 g,"20,-",8 712100 386473,SPICES AND POWDERS/ESSENCES
,Gust de gaina,Chicken taste,75 g,"12,-",8 712100 386619,SPICES AND POWDERS/ESSENCES
,Gust de gaina,Chicken taste,250 g,"20,-",8 712100 386633,SPICES AND POWDERS/ESSENCES
,Condimente pentru barbeque pui,Chicken barbecue spices,30 g,"12,-",8 712566 379835,SPICES AND POWDERS/ESSENCES
,Condimente pentru barbeque porc,Pig barbecue spices,30 g,"12,-",8 712566 379811,SPICES AND POWDERS/ESSENCES
,Bors magic original,Magic borch – Original,20 g,"10,-",8 718114 876009,SPICES AND POWDERS/ESSENCES
MAGGI,Bors magic cu verdeturi,Magic borch – with greens/herbs,70 g,"12,-",8 718114 876139,SPICES AND POWDERS/ESSENCES
ALEX,Bors magic cu legume,Magic borch – with vegetables,70 g,"12,-",8 718114 876115,SPICES AND POWDERS/ESSENCES
,Bors magic cu smantana,Magic borch – with sour cream,40 g,"12,-",8 718114 876122,SPICES AND POWDERS/ESSENCES
DR. OETKER,Bors,Borch,70 g,"10,-",8 585002 471468,SPICES AND POWDERS/ESSENCES
,Esenta de vanilie,Vanilla essence (small bottle),25 ml,"7,-",5 941417 010839,SPICES AND POWDERS/ESSENCES
,Zahar cu pudra cu aroma de vanilie,Powder sugar with vanilla aroma,75 g,"8,-",5 941417 003237,SPICES AND POWDERS/ESSENCES
