ALCOHOL DRINKS,,,,,,
Deli K'at,Bors magic cu Legume,Magic borch – with vegetables,70 g,12,8718114876115,Type
Deli K'at,Bors magic cu smantana,Magic borch – with sour cream,40 g,12,8718114876122,Type
Podravka,Bors cu Verdeturi,Borch with herbs,70 g,12,3850104265617,Type
Podravka,Bors cu Legume,Borch with vegetables,91 g,12,3850104283123,Type
Podravka,Bors cu Smantana,Borch with sour cream,40 g,12,3850104265624,Type
Podravka,Bors Original,Original Borch,20 g,5,3850104265631,Type
Maggi,Bors magic cu verdeturi,Magic borch – with greens/herbs,70 g,12,8718114876139,Type
Dr. Oetker,Bors,Borch,70 g,10,8585002471468,Type
,AROMA (ESENTE),AROMA (ESSENCES),WEIGHT,"PRICE, DKK",BARCODE,Type
Alex,Esenta de vanilie,Vanilla essence,25 ml,6,5941417008546,Type
Alex,Esenta de rom,Rum essence,25 ml,6,5941417008508,Type
Dr. Oetker,Esenta de Lamaie (4 x 2 ml),Lemon essence (4 x 2 ml),8 ml,12,5941132007756,Type
Dr. Oetker,Esenta de Vanilie (4 x 2 ml),Vanilla essence (4 x 2 ml),8 ml,12,5941132007770,Type
Dr. Oetker,Esenta de Rom (4 x 2 ml),Rum essence (4 x 2 ml),8 ml,12,5941132007763,Type
Dr. Oetker,Rom esenta,Rum essence,38 ml,12,59458845,Type
Dr. Oetker,Vanilie esenta,Vanilla essence,38 ml,12,59458852,Type
Dr. Oetker,Lamaie esenta,Lemon essence,38 ml,12,59458869,Type
,PRAFURI/ CREMA,POWDERS/ CREAM,WEIGHT,"PRICE, DKK",BARCODE,Type
Dr. Oetker,Praf copt,Baking powder,10 g,5,5941132400021,Type
Dr. Oetker,Amoniu pentru prajituri,Ammonium for cakes,7 g,3,5941132400076,Type
Bonito,Praf de spuma pt. Deserturi cu gust de frisca,Dust flavoured cream mousse,48 g,12,5941132300109,Type
,Zahar cu pudra cu aroma de vanilie,Powder sugar with vanilla aroma,75 g,8,5941417003237,Type
,Zahar vanilat,Vanilla sugar,8 g,5,5941132400014,Type
,Crema pt. Prajituri cu gust de vanilie,Cream for cakes with vanilla aroma,50 g,12,5941132300079,Type
Dr. Oetker,"Crema pentru ""Cremsnit"" fara fierbere",Cream for cakes,230 g,25,5941132007855,Type
,SODA,SODA,WEIGHT,"PRICE, DKK",BARCODE,Type
Alex,Bicarbonat de sodiu,Sodium bicarbonate,50 g,5,5941417003190,Type
,CASTRAVETI CONSERVATI,CANED CUCUMBERS,WEIGHT,"PRICE, DKK",BARCODE,Type
Raureni,Castraveti in otet 3-6 cm,Cucumbers in vinegar 3-6 cm,680 g,18,5941028003138,Type
Raureni,Castraveti in otet 6-9 cm,Cucumbers in vinegar 6-9 cm,1600 g,30,5941028000786,Type
,ROSII CONSERVATI,CANED TOMATOES,WEIGHT,"PRICE, DKK",BARCODE,Type
Raureni,Gogonele in saramura,Green tomatoes in brine,1600 g,35,5941028005613,Type
,CONSERVE MIX LEGUME,CANED VEGETABLE MIX,WEIGHT,"PRICE, DKK",BARCODE,Type
Raureni,Muraturi asortate in otet,Assorted pickles,1600 g,40,5941028006764,Type
,VARZA,CABBAGE,WEIGHT,"PRICE, DKK",BARCODE,Type
Germino,Varza murata tocata in saramura,Chopped pickled cabbage in brine,700 g,15,,Type
Raureni,Varza pentru sarmale in saramura,Stuffed cabbage in brine,1600 g,35,5941028005699,Type
Dyv Market Agency Srl,Camara cu muraturi,Pantry with pickles,1 kg,18,6425408000010,Type
,ARDEI,PEPPERS,WEIGHT,"PRICE, DKK",BARCODE,Type
,Ardei capia decojit,Peeled red pepper,?,25,,Type
Olympia,Ardei capia decojit,Pealed paprika,980 g,25,8697400272568,Type
Raureni,Gogosari in otet,Paprika in vinegar,1 kg,25,8697400272070,Type
Raureni,Ardei iute in otet,Hot peppers in vinegar,370 ml,15,8697400271639,Type
Raureni,Gogosari umpluti cu conopida,Pepper stuffed with cauliflower (big jar),1600 g,40,6426238950018,Type
,ROSII,TOMATOES,WEIGHT,"PRICE, DKK",BARCODE,Type
,Rosii decojite,Pealed tomatoes (can),400 g,10,5941334007271,Type
